text,label
환자가 심각한 호흡곤란으로 숨을 쉬기 어려워하며 피부가 푸르스름하게 변색된 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않는 쇼크 상태,1
"환자가 바닥에 쓰러져 의식을 잃었고, 주변의 소리에 반응하지 않으며, 몸이 움직이지 않는 상태",1
환자가 심한 호흡곤란으로 숨을 쉬지 못해 곤란해하는 상태,1
환자가 심각한 쇼크로 인해 혈압이 떨어지고 의식을 잃을 위험에 있는 상태,1
"환자가 의식을 잃고 반응이 없으며, 몸이 축 늘어져 있는 상태",1
환자가 심각한 호흡곤란으로 인해 가슴을 크게 오르내리며 숨을 쉬기 힘든 상태,1
환자가 쇼크 상태로 혈압이 급격히 떨어지며 의식을 잃을 위험에 있는 상태,1
"환자가 의식을 잃고 반응이 없으며, 주변 자극에 전혀 반응하지 않는 상태",1
환자가 경련을 일으키며 몸이 떨리고 혼란스러운 상태,1
환자가 자신이나 타인에게 해를 끼칠 구체적인 계획이나 충동을 억제하지 못하는 상태,1
건강한 상태에서 조절되지 않는 위험한 행동을 보이는 환자,1
싸움이나 안전하지 않은 상황에 놓여 있는 환자,1
중증 호흡곤란을 겪고 있는 환자,1
쇼크 상태에 있는 환자,1
무의식 상태(GCS 3-8)에 있는 환자,1
"중증 호흡곤란을 겪고 있는 환자이며, 생명이 위급한 상황입니다.",1
쇼크 상태로 생명이 위급한 환자입니다.,1
"무의식(GCS 3-8) 상태인 환자로, 심각한 의식 저하가 있습니다.",1
"중증 호흡곤란을 겪고 있는 환자로, 생명이 위급한 상황입니다.",1
환자가 심정지로 인해 맥박이 없으며 즉각적인 심폐소생술이 필요한 상태,1
환자가 고열로 인해 의식이 흐려지고 몸이 심하게 경련을 일으키는 상태,1
대량 출혈로 인해 혈압이 급격히 떨어지고 의식을 잃은 상태,1
환자가 심한 흉통을 호소하며 심근경색이 의심되는 상태,1
"환자가 호흡을 멈춘 상태로, 즉각적인 인공호흡이 필요한 상황",1
"환자가 총상으로 인해 다량의 출혈이 발생하고, 의식이 흐려진 상태",1
환자가 독극물 섭취로 의식을 잃고 구토를 반복하는 상태,1
환자가 차량 충돌로 인해 다리 골절과 대량 출혈을 보이는 상태,1
환자가 심한 복통과 함께 복부가 단단히 부풀어 오른 상태,1
환자가 물에 빠져 의식을 잃고 호흡이 정지된 상태,1
"환자가 고열과 강직을 보이며, 수막염이 의심되는 상태",1
환자가 가스 중독으로 의식을 잃고 심한 호흡곤란을 겪는 상태,1
환자가 목에 이물질이 걸려 숨을 쉴 수 없는 상태,1
환자가 심각한 두부 외상을 입어 의식이 없고 피를 흘리는 상태,1
환자가 화재로 인해 전신에 화상을 입고 피부가 심하게 손상된 상태,1
환자가 심한 탈수로 인해 혈압이 급격히 떨어진 상태,1
환자가 전기 감전 사고로 인해 의식을 잃고 심각한 화상을 입은 상태,1
환자가 심한 복부 통증과 함께 구토를 반복하며 장폐색이 의심되는 상태,1
환자가 추락 사고로 인해 다발성 골절을 입고 의식을 잃은 상태,1
환자가 갑작스러운 발작으로 몸이 경직되고 의식을 잃은 상태,1
환자가 중증 알레르기 반응으로 인해 목이 부어오르고 호흡이 어려운 상태,1
환자가 독사에 물려 의식이 희미하고 맥박이 불규칙한 상태,1
환자가 극심한 저체온증으로 의식이 희미해지고 몸이 떨리는 상태,1
환자가 교통사고로 인해 흉부와 복부에 심한 타박상을 입은 상태,1
환자가 심한 폐렴 증세로 인해 산소포화도가 급격히 떨어진 상태,1
환자가 머리를 강하게 부딪혀 뇌출혈이 의심되는 상태,1
환자가 급성 천식 발작으로 숨을 쉴 수 없는 상태,1
환자가 독극물 흡입으로 인해 구토와 혼란을 동반하는 상태,1
환자가 강한 약물 과다 복용으로 인해 의식이 희미하고 호흡이 얕은 상태,1
환자가 대량 출혈로 인해 창백해지고 식은땀을 흘리며 혈압이 매우 낮은 상태,1
환자가 심한 교통사고로 인해 척추 손상이 의심되고 몸을 움직일 수 없는 상태,1
환자가 장기 이식 후 거부 반응으로 심각한 염증 반응을 보이는 상태,1
환자가 심한 쇼크로 인해 의식이 희미하고 맥박이 거의 느껴지지 않는 상태,1
환자가 낙상 사고로 인해 머리를 부딪치고 의식을 잃은 상태,1
환자가 총상으로 인해 복부에 심한 출혈을 보이는 상태,1
환자가 중증 뇌출혈로 인해 의식을 잃고 호흡이 불규칙한 상태,1
환자가 심한 심부전 증상으로 인해 숨을 쉬기 어려운 상태,1
환자가 고열과 복부 통증으로 인해 복막염이 의심되는 상태,1
환자가 화학물질에 노출되어 피부에 심한 화상을 입고 의식을 잃은 상태,1
환자가 폭발 사고로 인해 전신에 심한 외상을 입고 의식을 잃은 상태,1
환자가 심한 패혈증으로 인해 혼란을 보이고 맥박이 불규칙한 상태,1
환자가 차량 전복 사고로 인해 흉부 압박감을 호소하는 상태,1
환자가 과다 출혈로 인해 쇼크 상태에 빠지고 맥박이 잡히지 않는 상태,1
